,,,,,,,,,,,,,,,,,,,
,,,,,,,DOW,Dow Chemical (DOW),US Stock,,,,,,,,Dow Chemical (DOW),DOW,US Stock
,,,,,,,DPS,Dr Pepper Snapple Group (DPS),US Stock,,,,,,,,Dr Pepper Snapple Group (DPS),DPS,US Stock
,,,,,,,DTE,DTE Energy Co. (DTE),US Stock,,,,,,,,DTE Energy Co. (DTE),DTE,US Stock
,,,,,,,DD,Du Pont (E.I.) (DD),US Stock,,,,,,,,Du Pont (E.I.) (DD),DD,US Stock
,,,,,,,DUK,Duke Energy (DUK),US Stock,,,,,,,,Duke Energy (DUK),DUK,US Stock
,,,,,,,DNB,Dun & Bradstreet (DNB),US Stock,,,,,,,,Dun & Bradstreet (DNB),DNB,US Stock
,,,,,,,ETFC,E*Trade (ETFC),US Stock,,,,,,,,E*Trade (ETFC),ETFC,US Stock
,,,,,,,EMN,Eastman Chemical (EMN),US Stock,,,,,,,,Eastman Chemical (EMN),EMN,US Stock
,,,,,,,ETN,Eaton Corporation (ETN),US Stock,,,,,,,,Eaton Corporation (ETN),ETN,US Stock
,,,,,,,EBAY,eBay Inc. (EBAY),US Stock,,,,,,,,eBay Inc. (EBAY),EBAY,US Stock
,,,,,,,ECL,Ecolab Inc. (ECL),US Stock,,,,,,,,Ecolab Inc. (ECL),ECL,US Stock
,,,,,,,EIX,Edison Int'l (EIX),US Stock,,,,,,,,Edison Int'l (EIX),EIX,US Stock
,,,,,,,EW,Edwards Lifesciences (EW),US Stock,,,,,,,,Edwards Lifesciences (EW),EW,US Stock
,,,,,,,EA,Electronic Arts (EA),US Stock,,,,,,,,Electronic Arts (EA),EA,US Stock
,,,,,,,EMR,Emerson Electric Company (EMR),US Stock,,,,,,,,Emerson Electric Company (EMR),EMR,US Stock
,,,,,,,ENDP,Endo International (ENDP),US Stock,,,,,,,,Endo International (ENDP),ENDP,US Stock
,,,,,,,ETR,Entergy Corp. (ETR),US Stock,,,,,,,,Entergy Corp. (ETR),ETR,US Stock
,,,,,,,EOG,EOG Resources (EOG),US Stock,,,,,,,,EOG Resources (EOG),EOG,US Stock
,,,,,,,EQT,EQT Corporation (EQT),US Stock,,,,,,,,EQT Corporation (EQT),EQT,US Stock
,,,,,,,EFX,Equifax Inc. (EFX),US Stock,,,,,,,,Equifax Inc. (EFX),EFX,US Stock
,,,,,,,EQIX,Equinix (EQIX),US Stock,,,,,,,,Equinix (EQIX),EQIX,US Stock
,,,,,,,EQR,Equity Residential (EQR),US Stock,,,,,,,,Equity Residential (EQR),EQR,US Stock
,,,,,,,ESS,Essex Property Trust Inc (ESS),US Stock,,,,,,,,Essex Property Trust Inc (ESS),ESS,US Stock
,,,,,,,EL,Estee Lauder Cos. (EL),US Stock,,,,,,,,Estee Lauder Cos. (EL),EL,US Stock
